,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-77.87178039550781,81.56350708007812,-22.73583221435547,33.95794677734375,5.527759075164795,-4.762636661529541,-14.39396858215332,-5.219470024108887,-0.49723565578460693,0.6132814288139343,11.115254402160645,-0.2290622889995575,5.906218528747559,2630.0909916444134,5167.96875,0.0667787417769432,2401.459749437208,0.068359375
1.0,-10.861719131469727,27.258174896240234,10.1331787109375,15.88927173614502,13.243728637695312,13.463644981384277,-12.458830833435059,-0.3605630397796631,-1.4856847524642944,-5.7973833084106445,-8.106571197509766,1.9429858922958374,2.916901111602783,4316.125238181312,8333.349609375,0.1257527470588684,3186.346960258911,0.18359375
2.0,95.99555206298828,73.59058380126953,-16.658864974975586,30.555164337158203,2.4142303466796875,4.9196624755859375,-18.575214385986328,0.47684311866760254,-15.195907592773438,-6.771836757659912,-14.801046371459961,-3.723829746246338,-8.040175437927246,2642.5826867640817,5577.099609375,0.0484146848320961,2512.6605122380515,0.177734375
3.0,34.380950927734375,44.477394104003906,-22.135028839111328,17.824779510498047,-14.78034782409668,1.0443150997161865,-28.403858184814453,-3.1783361434936523,-20.871463775634766,4.713408470153809,-10.330804824829102,2.953639030456543,-14.586247444152832,3488.784236744301,6869.091796875,0.09501176327466965,2662.3055444856127,0.27587890625
4.0,-3.4881527423858643,42.89581298828125,-28.24561309814453,17.638042449951172,-2.87784481048584,1.5119916200637817,-14.164505958557129,-9.166057586669922,-21.118614196777344,3.6450912952423096,11.873527526855469,2.5596494674682617,-2.4500226974487305,3090.1104172691716,6201.5625,0.04213598743081093,2620.4633150276723,0.208984375
5.0,-75.13587951660156,26.17827606201172,30.354310989379883,-10.510852813720703,19.874664306640625,-1.3832900524139404,-1.587030053138733,-3.4765589237213135,-10.585619926452637,-0.43937447667121887,-0.5105106830596924,-1.3697764873504639,-7.754410743713379,5539.5153286356435,9453.076171875,0.13985471427440643,3617.5502574801762,0.32763671875
6.0,21.15720558166504,62.62659454345703,-46.1096305847168,16.950931549072266,2.7419791221618652,-8.880157470703125,-16.04657745361328,-17.505428314208984,16.492530822753906,-12.472419738769531,8.086526870727539,-2.8102993965148926,-0.8549777269363403,2738.7102493192506,5135.6689453125,0.021068792790174484,2406.741367265655,0.13134765625
7.0,-10.882841110229492,89.37254333496094,-19.184066772460938,10.68185043334961,-17.840404510498047,-2.0634918212890625,-10.165376663208008,6.039087772369385,-3.102628231048584,6.175264835357666,-11.314884185791016,-2.6069178581237793,-5.5620012283325195,2448.2477236443247,5167.96875,0.03370239585638046,2447.0173091949964,0.1162109375
8.0,31.35135269165039,54.94578170776367,22.077327728271484,35.83612823486328,10.219292640686035,38.08826446533203,0.34599950909614563,25.078521728515625,2.534163475036621,22.127487182617188,-5.377992630004883,14.641124725341797,-9.265396118164062,3108.873514670562,7030.5908203125,0.01972314715385437,3063.9064086818958,0.11572265625
9.0,13.800482749938965,70.80502319335938,3.138941764831543,26.416278839111328,-3.391458034515381,24.72386932373047,-5.265834331512451,21.562816619873047,-0.43749988079071045,18.710124969482422,-4.057671070098877,14.007205963134766,4.540449142456055,2866.0398166698656,6546.09375,0.020607871934771538,2815.0156777773473,0.1220703125
10.0,-36.39089584350586,93.31295013427734,-7.642931938171387,28.377180099487305,-5.254386901855469,18.368404388427734,-5.113758087158203,17.020151138305664,0.8714564442634583,8.458236694335938,-8.625537872314453,4.881227016448975,-2.593320369720459,2322.8083443829714,5221.8017578125,0.015578070655465126,2472.0520709660514,0.0869140625
11.0,-0.29843777418136597,116.36078643798828,-23.946956634521484,24.45038414001465,21.719152450561523,17.164329528808594,-5.240252494812012,17.247974395751953,-16.93514060974121,12.070773124694824,6.726710319519043,-2.5549254417419434,-19.760154724121094,1784.2785442480672,3283.8134765625,0.006606534589082003,2097.165628650068,0.083984375
12.0,-68.31991577148438,100.14933013916016,-41.598976135253906,14.2688627243042,8.720834732055664,16.144973754882812,10.323695182800293,25.500972747802734,-14.494606018066406,24.353775024414062,21.005020141601562,-17.625946044921875,-0.2824225127696991,1940.2206208393377,3176.1474609375,0.0036773683968931437,1876.9437194878724,0.1064453125
13.0,-47.34519958496094,110.80973815917969,-16.007614135742188,30.374038696289062,-4.903629302978516,7.619014739990234,-0.17135488986968994,-13.814340591430664,-16.975326538085938,-6.316411972045898,0.18494737148284912,-2.494621753692627,-12.847877502441406,1968.0069568634633,4123.6083984375,0.023134376853704453,2172.4918456408664,0.07421875
14.0,77.79989624023438,61.55464172363281,-6.740546226501465,32.251220703125,-16.09236717224121,20.86823844909668,2.7606770992279053,18.770275115966797,-3.5933194160461426,3.158910036087036,-9.356146812438965,11.71546745300293,-2.134934902191162,3136.899361688599,6309.228515625,0.06920202076435089,2621.947743905335,0.177734375
15.0,24.68068504333496,73.21941375732422,-11.829498291015625,31.838855743408203,7.050050735473633,5.283469200134277,-18.78472328186035,21.64039421081543,2.500178575515747,5.183357238769531,-5.66933536529541,16.526466369628906,4.694597244262695,2672.129906285637,6050.830078125,0.027009030804038048,2561.232947191261,0.13720703125
16.0,-27.588462829589844,96.1121826171875,10.149641990661621,31.205631256103516,11.485738754272461,2.5193300247192383,-18.40904998779297,12.698091506958008,6.534229278564453,10.340850830078125,3.1115782260894775,10.64441967010498,0.507180392742157,2262.0445126438917,5566.3330078125,0.01764940656721592,2655.3997622865095,0.12744140625
17.0,18.042909622192383,68.25973510742188,-43.65508270263672,21.363780975341797,7.309202194213867,14.182170867919922,-0.14895829558372498,11.191862106323242,3.504894256591797,24.542194366455078,25.549707412719727,-2.8911657333374023,2.6381711959838867,2368.892669034759,4554.2724609375,0.010836892761290073,2138.466315814226,0.13818359375
18.0,-115.7136459350586,96.3052978515625,-33.18938064575195,10.246894836425781,-5.764351844787598,-6.247437477111816,-8.699054718017578,0.3437100946903229,-21.43781280517578,3.7434821128845215,10.612038612365723,-4.370894432067871,-8.784244537353516,1984.1168291943193,3369.9462890625,0.00453728623688221,2028.2926695605038,0.0859375
