,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,SpectralCentroid,SpectralRolloff,SpectralFlatness,SpectralBandwidth,ZeroCrossingRate
0.0,-21.789894104003906,90.37100219726562,-1.8987536430358887,-3.0944676399230957,-4.342278480529785,24.56359100341797,-3.845851421356201,-8.533967018127441,3.67000412940979,7.358395576477051,-1.3753352165222168,17.549240112304688,-1.4332917928695679,2539.8240364806156,5652.4658203125,0.03871533274650574,2725.939720051536,0.0732421875
1.0,17.373855590820312,72.88533020019531,9.148870468139648,31.893569946289062,6.812029838562012,11.379093170166016,-6.136115550994873,14.106475830078125,10.10895824432373,9.04625129699707,-10.485733032226562,12.412084579467773,0.6845386028289795,2953.111035452097,6793.7255859375,0.023787863552570343,2951.2537928698703,0.13427734375
2.0,-32.810646057128906,72.64707946777344,27.416189193725586,45.26920700073242,5.553308486938477,13.20132827758789,-2.884673833847046,10.881433486938477,1.2215685844421387,10.04490852355957,-14.229852676391602,10.361583709716797,-1.1247884035110474,2732.341495866691,6739.892578125,0.01847502775490284,3003.035932900422,0.1767578125
3.0,-27.596315383911133,14.995189666748047,13.97903823852539,10.335343360900879,-17.153274536132812,-21.318695068359375,-33.10032653808594,-14.908266067504883,-27.338552474975586,-9.064199447631836,-21.37715721130371,-10.709074020385742,-19.60769271850586,4571.770127209203,8634.814453125,0.07451480627059937,3279.028117011018,0.2431640625
4.0,-71.90373229980469,43.42595672607422,7.400386333465576,4.743493556976318,-27.79729461669922,-4.872228622436523,-34.93476104736328,-17.45730209350586,-27.316055297851562,-15.792030334472656,-19.404224395751953,-0.6194708347320557,-18.153324127197266,3409.0878607741297,7396.6552734375,0.014074137434363365,3089.9459681342564,0.0869140625
5.0,-40.627498626708984,79.45108795166016,61.40373229980469,46.50526428222656,2.329580307006836,22.40872573852539,3.3858160972595215,11.236177444458008,-3.9145445823669434,8.194660186767578,-12.429607391357422,8.81785774230957,2.440927028656006,2236.418301593404,6524.560546875,0.003930188715457916,3073.2264434908893,0.0615234375
6.0,-81.53775024414062,67.17611694335938,50.42339324951172,60.33589553833008,8.791900634765625,23.135400772094727,-9.669498443603516,-1.874632716178894,-10.795516967773438,0.8927936553955078,-11.565692901611328,12.85799789428711,-2.28745698928833,2514.747135133264,6535.3271484375,0.006355044431984425,3025.738413704327,0.07080078125
7.0,5.998636722564697,60.86430358886719,43.92161178588867,19.611976623535156,7.619545936584473,14.690112113952637,5.286158561706543,8.697393417358398,-10.465644836425781,16.43545913696289,8.605364799499512,18.826555252075195,-6.1461968421936035,3248.8698165255055,8096.484375,0.011994716711342335,3434.002280763316,0.09912109375
8.0,-78.82781982421875,67.44454193115234,38.03689193725586,30.770748138427734,-19.188810348510742,3.6326475143432617,8.980480194091797,20.78323745727539,-5.240076541900635,4.091981887817383,1.434516191482544,29.450653076171875,15.985429763793945,2480.4712027122087,6309.228515625,0.005136365536600351,2928.7597866499273,0.1064453125
9.0,-71.24578857421875,49.665245056152344,45.76129150390625,53.118404388427734,29.8787784576416,19.219282150268555,-12.606250762939453,-0.388355016708374,-9.845193862915039,-5.503158092498779,-2.2213361263275146,20.9674072265625,-2.613572835922241,3455.2878501673326,8139.55078125,0.03146638348698616,3399.660406682132,0.19580078125
